"filename", "language", "JavaScript JSX", "MS SQL", "C#", "JSON", "comment", "blank", "total"
"c:\Users\111\Desktop\Main\JSReact\Final-Project-ReactJs\NewsAppBecend\.vs\NewsAppBecend\v17\DocumentLayout.backup.json", "JSON", 0, 0, 0, 4, 0, 0, 4
"c:\Users\111\Desktop\Main\JSReact\Final-Project-ReactJs\NewsAppBecend\.vs\NewsAppBecend\v17\DocumentLayout.json", "JSON", 0, 0, 0, -14, 0, 0, -14
"c:\Users\111\Desktop\Main\JSReact\Final-Project-ReactJs\NewsAppBecend\Controllers\EditionsController.cs", "C#", 0, 0, 3, 0, 2, -1, 4
"c:\Users\111\Desktop\Main\JSReact\Final-Project-ReactJs\NewsAppBecend\Controllers\NewsItemsController.cs", "C#", 0, 0, 5, 0, 0, 0, 5
"c:\Users\111\Desktop\Main\JSReact\Final-Project-ReactJs\NewsAppBecend\SQLQuery.sql", "MS SQL", 0, 6, 0, 0, 0, 2, 8
"c:\Users\111\Desktop\Main\JSReact\Final-Project-ReactJs\NewsAppBecend\obj\Debug\net8.0\ApiEndpoints.json", "JSON", 0, 0, 0, 6, 0, 0, 6
"c:\Users\111\Desktop\Main\JSReact\Final-Project-ReactJs\src\App.jsx", "JavaScript JSX", 10, 0, 0, 0, -1, 2, 11
"c:\Users\111\Desktop\Main\JSReact\Final-Project-ReactJs\src\Componens\Items\NewsModal.jsx", "JavaScript JSX", 3, 0, 0, 0, 0, -1, 2
"c:\Users\111\Desktop\Main\JSReact\Final-Project-ReactJs\src\Componens\Items\newsList.jsx", "JavaScript JSX", 18, 0, 0, 0, -2, 1, 17
"c:\Users\111\Desktop\Main\JSReact\Final-Project-ReactJs\src\Componens\Main\AdminsEditor.jsx", "JavaScript JSX", 8, 0, 0, 0, 0, 1, 9
"c:\Users\111\Desktop\Main\JSReact\Final-Project-ReactJs\src\Componens\Main\SearchSortNews.jsx", "JavaScript JSX", 12, 0, 0, 0, 1, 0, 13
"Total", "-", 51, 6, 8, -4, 0, 4, 65
