"filename", "language", "JavaScript JSX", "JSON", "C#", "comment", "blank", "total"
"c:\Users\111\Desktop\Main\JSReact\Final-Project-ReactJs\NewsAppBecend\.vs\NewsAppBecend\v17\DocumentLayout.backup.json", "JSON", 0, 4, 0, 0, 0, 4
"c:\Users\111\Desktop\Main\JSReact\Final-Project-ReactJs\NewsAppBecend\.vs\NewsAppBecend\v17\DocumentLayout.json", "JSON", 0, 4, 0, 0, 0, 4
"c:\Users\111\Desktop\Main\JSReact\Final-Project-ReactJs\NewsAppBecend\Controllers\EditionsController.cs", "C#", 0, 0, 10, 0, 1, 11
"c:\Users\111\Desktop\Main\JSReact\Final-Project-ReactJs\NewsAppBecend\Controllers\MainController.cs", "C#", 0, 0, 0, -1, 0, -1
"c:\Users\111\Desktop\Main\JSReact\Final-Project-ReactJs\NewsAppBecend\Controllers\NewsItemsController.cs", "C#", 0, 0, 42, 0, 3, 45
"c:\Users\111\Desktop\Main\JSReact\Final-Project-ReactJs\NewsAppBecend\Controllers\UsersController.cs", "C#", 0, 0, 43, 3, 6, 52
"c:\Users\111\Desktop\Main\JSReact\Final-Project-ReactJs\NewsAppBecend\obj\Debug\net8.0\ApiEndpoints.json", "JSON", 0, 64, 0, 0, 0, 64
"c:\Users\111\Desktop\Main\JSReact\Final-Project-ReactJs\src\App.jsx", "JavaScript JSX", 2, 0, 0, 0, 0, 2
"c:\Users\111\Desktop\Main\JSReact\Final-Project-ReactJs\src\Componens\First\Login.jsx", "JavaScript JSX", 0, 0, 0, -1, 0, -1
"c:\Users\111\Desktop\Main\JSReact\Final-Project-ReactJs\src\Componens\Items\NewsCards.jsx", "JavaScript JSX", -17, 0, 0, 0, 2, -15
"c:\Users\111\Desktop\Main\JSReact\Final-Project-ReactJs\src\Componens\Items\NewsModal.jsx", "JavaScript JSX", 33, 0, 0, 4, -1, 36
"c:\Users\111\Desktop\Main\JSReact\Final-Project-ReactJs\src\Componens\Main\AddProduct.jsx", "JavaScript JSX", 0, 0, 0, -2, 1, -1
"c:\Users\111\Desktop\Main\JSReact\Final-Project-ReactJs\src\Componens\Main\EditNews.jsx", "JavaScript JSX", 29, 0, 0, 7, 11, 47
"c:\Users\111\Desktop\Main\JSReact\Final-Project-ReactJs\src\Componens\Main\EditProfile.jsx", "JavaScript JSX", 95, 0, 0, 5, 16, 116
"c:\Users\111\Desktop\Main\JSReact\Final-Project-ReactJs\src\Componens\Main\Layout.jsx", "JavaScript JSX", 4, 0, 0, 0, 0, 4
"c:\Users\111\Desktop\Main\JSReact\Final-Project-ReactJs\src\Componens\Main\Profile.jsx", "JavaScript JSX", 3, 0, 0, 0, 1, 4
"Total", "-", 149, 72, 95, 15, 40, 371
