"filename", "language", "JavaScript JSX", "C#", "JSON", "XML", "comment", "blank", "total"
"c:\Users\111\Desktop\Main\JSReact\Final-Project-ReactJs\NewsAppBecend\.vs\NewsAppBecend\v17\DocumentLayout.backup.json", "JSON", 0, 0, 800, 0, 0, 0, 800
"c:\Users\111\Desktop\Main\JSReact\Final-Project-ReactJs\NewsAppBecend\.vs\NewsAppBecend\v17\DocumentLayout.json", "JSON", 0, 0, 189, 0, 0, 0, 189
"c:\Users\111\Desktop\Main\JSReact\Final-Project-ReactJs\NewsAppBecend\Configuration\FileUploadSettings.cs", "C#", 0, 3, 0, 0, 0, -1, 2
"c:\Users\111\Desktop\Main\JSReact\Final-Project-ReactJs\NewsAppBecend\Controllers\AdminController.cs", "C#", 0, 5, 0, 0, 1, 2, 8
"c:\Users\111\Desktop\Main\JSReact\Final-Project-ReactJs\NewsAppBecend\Controllers\AuthController.cs", "C#", 0, -11, 0, 0, 0, 0, -11
"c:\Users\111\Desktop\Main\JSReact\Final-Project-ReactJs\NewsAppBecend\Controllers\EditionsController.cs", "C#", 0, 137, 0, 0, 9, 23, 169
"c:\Users\111\Desktop\Main\JSReact\Final-Project-ReactJs\NewsAppBecend\Controllers\NewsItemsController.cs", "C#", 0, -43, 0, 0, -4, -2, -49
"c:\Users\111\Desktop\Main\JSReact\Final-Project-ReactJs\NewsAppBecend\Controllers\UsersController.cs", "C#", 0, -12, 0, 0, -2, 6, -8
"c:\Users\111\Desktop\Main\JSReact\Final-Project-ReactJs\NewsAppBecend\DTOs\Auth\AuthResponseDto.cs", "C#", 0, 13, 0, 0, 0, 0, 13
"c:\Users\111\Desktop\Main\JSReact\Final-Project-ReactJs\NewsAppBecend\DTOs\Auth\LoginDto.cs", "C#", 0, 5, 0, 0, 0, 1, 6
"c:\Users\111\Desktop\Main\JSReact\Final-Project-ReactJs\NewsAppBecend\DTOs\Auth\RegisterDto.cs", "C#", 0, 15, 0, 0, 0, 4, 19
"c:\Users\111\Desktop\Main\JSReact\Final-Project-ReactJs\NewsAppBecend\DTOs\Common\ApiResponseDto.cs", "C#", 0, 7, 0, 0, 0, 0, 7
"c:\Users\111\Desktop\Main\JSReact\Final-Project-ReactJs\NewsAppBecend\DTOs\Common\PagedResultDto.cs", "C#", 0, 5, 0, 0, 0, 0, 5
